battery_power;clock_speed;dual_sim;int_memory;mobile_weight;n_cores;px_height;px_width;ram;talk_time;touch_screen;wifi;price_range
702;26;1;9;141;3;504;1570;2955;19;0;0;2
616;19;1;44;81;3;651;1618;3366;13;1;0;3
1358;5;0;36;155;4;1565;1858;3068;4;1;0;3
1866;14;0;30;182;3;108;1781;3834;8;0;0;3
1242;11;1;10;165;2;459;1225;1050;4;0;1;0
1166;15;1;43;80;4;205;603;3993;7;1;0;3
1448;5;1;45;138;7;570;1724;3378;2;1;1;3
1407;24;0;22;104;4;1172;1217;2192;13;0;1;2
605;10;0;9;142;3;160;1026;392;4;0;0;0
1038;12;0;43;141;1;4;638;3709;12;1;1;3
797;29;1;38;90;4;763;1413;590;6;1;0;0
819;6;1;42;188;6;339;1242;1814;13;0;1;1
1114;28;0;9;197;3;1040;1071;907;17;1;0;0
1234;16;1;33;172;1;166;778;1449;6;0;1;0
1199;25;1;16;116;4;1168;1552;3448;10;0;1;3
1103;10;1;29;111;6;990;1486;1837;16;1;1;1
1589;6;1;58;85;7;319;1206;3464;6;1;1;3
999;29;1;64;199;4;1397;1616;2593;16;1;0;2
1510;9;1;45;180;5;708;1752;3484;11;1;1;3
1008;8;0;61;114;3;1077;1122;2009;11;0;0;1
1127;29;1;57;163;1;928;1049;2048;17;1;1;1
1412;24;0;25;96;8;516;1894;837;4;0;1;1
1496;20;1;42;182;5;96;741;854;7;1;1;0
1083;29;1;64;178;3;1025;1118;3210;4;0;0;3
668;5;1;3;155;5;666;1203;2746;8;1;1;2
1309;11;1;33;100;4;557;1402;2334;11;0;1;2
1724;20;1;57;177;3;1605;1924;2822;16;1;0;3
1977;20;1;54;171;7;1226;1242;1971;14;1;0;2
885;23;1;15;103;7;769;802;1410;5;1;1;0
879;25;0;14;83;6;403;1105;349;2;0;1;0
1322;17;1;7;140;3;177;1990;1418;12;1;0;1
1137;10;0;7;196;3;942;1179;3616;12;1;1;3
1355;23;0;23;132;5;651;891;880;8;1;0;0
1665;5;0;60;194;6;1572;1684;1601;14;0;0;2
657;25;0;37;141;2;476;961;1412;18;1;0;0
593;5;0;31;156;7;1233;1317;1692;7;0;0;1
1883;5;0;10;146;6;836;1739;2600;20;0;0;3
1732;11;0;12;119;8;824;881;1308;11;0;1;1
543;5;0;57;192;5;391;984;2413;15;0;0;1
1939;28;1;55;199;4;320;520;1047;18;1;0;0
553;24;1;8;121;7;325;902;1204;8;1;1;0
832;7;1;39;103;4;125;1504;1799;11;0;1;1
1661;19;1;23;172;5;846;1634;2676;11;1;1;3
1657;24;0;42;198;5;1770;1796;2597;14;0;0;3
1135;20;1;46;83;1;293;1846;3029;9;1;1;3
1775;15;0;41;163;1;1633;1869;2343;14;1;1;3
783;18;1;43;106;3;1198;1471;2016;18;1;0;1
617;23;0;32;199;7;768;874;2213;7;0;0;1
867;14;1;4;135;6;70;1974;790;3;1;0;0
1310;11;1;7;194;5;117;513;3182;5;1;0;2
1804;5;0;22;153;7;1158;1244;3472;20;0;1;3
1900;23;0;18;89;7;1055;1661;2871;13;1;1;3
909;14;0;53;82;8;635;973;3187;4;0;0;2
1084;26;0;40;107;3;322;771;1945;10;1;0;1
1308;13;1;46;199;1;275;989;488;9;1;0;0
1778;5;0;15;102;3;1445;1954;1214;14;0;0;1
1701;16;1;10;194;8;550;1338;2598;6;1;0;2
772;24;1;10;80;4;1242;1712;3242;4;1;0;3
825;5;1;52;130;3;597;863;3534;6;1;0;3
1379;11;0;36;200;2;538;1376;3426;17;1;1;3
1166;20;0;25;198;5;59;1203;2488;15;0;0;2
1659;28;0;16;89;1;819;902;3255;9;0;1;3
826;24;1;58;88;4;179;786;2863;18;0;1;2
1564;23;0;25;189;6;1259;1965;1496;7;1;1;1
1957;9;1;31;181;3;396;1732;3801;7;0;1;3
1571;14;0;19;100;6;713;1398;666;13;1;0;0
1414;20;1;54;99;7;262;829;3799;7;0;1;3
1790;25;1;2;184;1;622;792;1366;20;1;1;1
645;5;0;41;197;7;327;580;2962;4;1;1;2
668;29;1;30;195;8;522;1056;2399;7;1;1;1
1652;11;1;36;89;4;313;1264;2338;20;0;0;2
1213;5;0;16;108;5;226;1248;2700;9;0;1;2
1272;25;1;22;133;6;605;669;2235;4;0;0;1
866;5;1;46;179;8;692;1686;3825;2;1;1;3
536;24;1;3;182;7;1386;1539;284;4;1;0;0
523;26;1;14;155;8;304;1042;1427;9;1;0;0
1753;5;1;31;134;1;1590;1926;1324;17;0;1;2
1218;18;1;14;147;3;229;616;398;5;0;0;0
1537;25;0;43;137;1;839;1131;3685;17;1;1;3
786;22;1;33;141;7;507;1697;2390;5;0;1;2
1678;21;0;64;134;3;436;536;278;10;1;0;0
1814;14;1;9;141;2;756;786;3556;16;0;0;3
1101;18;0;31;148;2;387;1269;2196;19;1;1;1
1461;24;1;40;141;7;1265;1298;3799;4;0;0;3
1216;30;0;47;199;3;1852;1967;2268;4;1;1;2
506;16;0;41;159;1;875;1025;2965;15;0;0;2
843;5;0;56;147;5;140;800;2341;20;1;1;1
742;22;1;56;190;7;577;1359;3557;12;1;1;3
1692;21;0;61;176;6;975;1996;1354;19;0;0;1
1485;10;0;32;84;2;510;1013;2147;11;1;0;2
1547;29;1;45;166;2;583;590;505;3;1;1;0
1692;23;1;46;139;1;674;1925;1394;6;1;0;1
637;23;0;60;97;4;1125;1989;374;8;0;1;0
1224;5;0;6;109;6;747;826;506;11;1;1;0
1356;28;0;29;198;6;1612;1983;3702;19;0;0;3
1840;5;1;34;142;1;311;1545;1078;10;0;0;1
1481;7;1;37;96;5;116;1533;2945;16;1;1;2
961;15;1;51;152;6;554;621;2981;7;1;1;2
1296;9;1;14;124;5;811;1272;490;4;1;1;0
1193;9;0;26;166;1;730;1729;536;4;0;1;0
1441;21;1;3;118;8;577;1071;2317;7;0;1;2
517;14;1;33;183;4;660;974;3704;11;0;1;3
748;17;0;27;150;8;450;1554;2126;7;0;0;1
1126;24;0;10;160;6;1223;1611;2050;12;1;1;2
1572;6;0;58;157;7;1109;1937;2462;10;0;0;3
1569;28;1;44;110;4;45;1942;1260;17;0;0;1
1270;6;1;32;101;7;299;845;3770;13;1;0;3
1854;30;0;8;101;5;506;627;1886;20;1;0;1
625;12;1;10;183;4;635;842;3323;7;1;1;2
1577;5;1;42;197;5;1045;1737;2060;12;0;0;2
534;5;1;16;189;5;393;1199;3926;20;0;0;3
946;17;1;25;143;6;650;1740;2177;13;1;1;2
685;5;0;29;93;7;433;648;728;4;0;1;0
1949;13;1;23;101;5;839;1136;2478;20;0;0;3
947;8;1;22;197;2;1176;1220;2842;2;0;0;2
801;22;1;63;165;7;650;879;1617;19;0;1;1
703;27;0;30;113;1;218;1065;1472;7;0;0;0
1165;24;0;41;178;6;564;831;764;15;0;0;0
1082;8;0;38;198;8;986;1191;2337;17;1;1;2
959;26;1;20;84;4;561;1631;3965;6;0;0;3
1502;12;0;54;138;5;65;588;3693;16;1;0;3
1380;21;1;4;92;3;420;500;797;15;1;0;0
1266;5;0;5;95;6;1365;1698;1687;18;0;0;2
1934;26;1;46;103;1;619;1299;2940;2;1;1;3
1905;5;0;6;151;1;849;898;1545;10;1;0;1
1831;14;1;43;150;5;611;1381;3834;13;1;1;3
596;14;0;46;165;1;953;984;2505;15;1;0;1
1562;13;1;7;190;5;642;1533;2243;6;0;0;2
1490;5;1;64;150;8;1417;1464;3600;7;1;1;3
1523;24;0;57;117;2;247;539;3971;10;1;1;3
640;6;0;20;163;4;710;1179;2844;18;1;0;2
1526;21;0;23;117;7;718;751;2227;3;1;0;2
1989;25;1;41;94;3;1100;1497;1665;12;1;1;2
1308;19;0;61;106;3;59;1215;3355;4;0;1;3
609;5;0;26;93;4;938;1948;1866;14;1;1;1
1905;6;1;36;119;3;825;1542;1287;16;0;0;1
1703;5;0;22;192;1;286;1235;1046;13;0;1;0
1445;24;1;20;173;7;1273;1345;1441;13;1;1;1
1087;13;0;16;166;3;295;589;690;6;0;1;0
671;9;1;30;105;7;852;1182;2504;15;0;0;2
1472;23;0;61;168;6;710;1052;2677;8;0;0;2
765;5;1;47;115;8;1277;1429;2243;4;0;1;2
1642;5;1;8;171;6;129;873;2984;17;0;1;2
1265;15;0;49;182;5;690;836;1362;12;0;1;1
664;11;1;51;110;7;701;1478;3629;6;1;1;3
1277;5;1;35;142;6;309;1460;3559;6;1;0;3
1395;18;1;23;111;3;213;705;2571;13;0;1;2
1539;26;0;41;159;8;1112;1666;2107;10;0;1;2
1049;22;0;63;135;5;199;1077;1022;13;0;0;0
1827;17;0;39;128;5;55;1020;2844;10;1;0;2
903;10;1;50;91;1;1230;1235;711;10;1;0;0
1987;5;0;53;181;3;1052;1516;3117;8;1;1;3
1154;12;1;49;181;8;541;1499;978;7;0;1;0
1336;9;0;17;194;5;55;583;1869;16;1;1;1
1886;5;0;24;112;3;809;1958;1179;20;0;1;1
1551;11;0;51;88;5;1738;1995;3844;4;1;0;3
850;16;1;29;133;5;404;642;593;10;0;1;0
660;5;0;40;111;2;262;1178;588;18;1;1;0
1225;21;1;13;116;4;759;1404;3836;11;0;0;3
1452;5;1;25;123;6;42;1040;2669;13;0;0;2
1686;28;1;38;166;4;397;1453;2958;2;0;0;3
1634;14;0;17;200;2;964;1677;3031;6;1;1;3
1708;24;1;49;109;1;233;517;3388;16;1;1;3
1151;29;1;31;128;8;1022;1560;2377;13;1;0;2
1578;19;1;37;138;4;411;1226;2458;3;0;1;2
1689;18;0;24;127;3;954;1200;2766;7;1;1;3
1488;5;0;39;112;5;1528;1647;3054;19;0;0;3
1313;18;1;9;105;1;416;1308;3791;6;1;1;3
1715;10;1;31;83;8;638;1615;625;13;0;0;0
1442;10;1;27;192;3;231;687;2227;20;1;0;1
528;17;0;6;142;2;574;637;3256;6;1;0;2
1523;18;0;11;129;1;148;1606;707;19;1;0;0
1133;14;0;42;199;5;730;1543;1457;20;0;1;1
1718;25;1;6;183;5;564;980;3755;8;1;1;3
1330;5;0;38;183;7;1290;1441;1733;11;0;1;1
1799;5;0;49;107;4;632;1383;720;11;1;1;0
633;22;0;49;139;8;529;1009;3560;16;1;1;2
724;27;1;44;187;7;1273;1754;2311;7;0;0;2
822;5;0;51;157;6;667;860;3846;3;0;0;3
1918;19;0;10;110;5;1170;1543;1717;16;1;1;2
1891;28;0;37;129;7;169;1108;3704;11;0;0;3
1373;10;1;50;127;7;105;673;3800;14;0;0;3
862;8;1;23;165;2;793;1758;278;11;0;1;0
1273;10;0;48;99;4;490;886;1767;11;1;0;1
957;25;0;7;107;5;1201;1485;1846;7;0;1;1
1617;13;1;30;105;2;246;1038;829;10;0;0;0
893;25;1;55;183;2;417;946;2986;6;1;1;2
1210;5;0;63;93;5;1177;1462;2394;7;0;0;2
708;27;1;63;195;8;78;654;2169;7;1;1;1
835;11;1;7;101;4;323;1604;1181;15;1;1;0
1450;27;1;19;131;1;707;1882;575;12;0;0;0
973;15;0;57;190;7;457;1816;2977;2;0;0;2
601;14;0;4;154;4;356;765;532;10;1;1;0
507;5;1;32;141;7;936;1398;1702;5;1;1;1
564;18;1;51;168;3;912;1980;1074;15;1;0;0
1559;16;1;6;162;6;179;1559;3352;3;1;1;3
754;5;1;59;178;7;1914;1928;1027;5;0;0;1
728;27;1;25;88;4;526;1529;2039;12;1;1;1
1431;5;0;56;191;1;156;952;461;8;0;0;0
767;15;0;28;175;4;344;1517;527;15;1;0;0
1722;26;0;18;177;2;865;1741;3271;15;0;1;3
1992;16;0;57;100;2;1552;1596;606;4;1;1;1
1876;5;0;40;86;6;546;1564;2513;16;1;0;3
1054;11;1;38;136;6;1097;1222;1675;14;1;1;1
1283;16;1;47;93;5;372;692;2698;17;1;0;2
1281;23;1;28;148;1;1285;1617;1129;6;1;0;1
1066;6;0;7;114;7;1242;1571;468;6;1;0;0
730;21;1;4;89;8;302;1247;1210;4;1;1;0
1053;8;1;45;103;1;594;1767;3086;5;1;1;3
1611;5;1;3;98;3;303;714;1595;9;0;1;1
793;10;1;30;133;2;1858;1935;2332;14;1;1;2
1220;29;0;62;125;4;403;1933;2589;15;1;1;2
1662;5;0;61;126;4;32;1509;3760;13;1;1;3
1281;28;1;8;144;4;590;954;1851;9;1;0;1
538;8;0;2;177;7;235;662;417;9;0;1;0
823;5;0;39;187;8;630;888;294;11;0;1;0
1733;28;0;36;119;6;357;527;3576;9;0;0;3
1429;15;1;40;100;3;246;820;3945;18;0;1;3
1839;12;0;54;200;7;475;1493;927;18;0;1;1
659;27;0;6;110;3;1054;1929;2044;2;0;1;1
1953;21;1;56;158;8;555;764;2334;4;0;0;2
1172;19;0;27;164;1;607;1092;1477;6;0;0;1
612;19;1;16;102;7;1360;1891;3161;3;0;0;3
1563;24;0;24;170;8;142;1699;3660;5;1;0;3
1191;13;1;26;84;1;681;683;1604;9;0;1;1
615;5;1;42;163;6;104;1664;2211;18;0;1;1
1893;21;1;63;134;2;637;763;3822;18;1;1;3
1563;17;1;16;151;7;410;572;3922;8;0;1;3
1995;19;0;9;139;6;1830;1963;1203;18;1;1;2
1517;5;0;48;143;5;802;1489;2822;11;1;1;3
832;16;1;34;108;5;311;1294;447;12;1;0;0
1162;20;0;56;114;7;56;997;1652;20;0;0;1
1595;26;0;12;121;8;344;655;3608;16;1;0;3
1329;10;0;52;181;6;1053;1458;1228;6;0;1;1
928;5;1;56;80;8;221;1243;666;5;1;0;0
1656;5;1;38;105;7;506;519;1499;19;0;1;1
1937;17;0;58;189;1;1728;1767;3321;14;1;0;3
977;11;1;57;181;6;63;566;1206;8;1;1;0
768;9;0;56;113;1;418;515;952;16;0;1;0
1464;5;1;12;117;2;854;1168;3927;15;1;1;3
1177;9;0;29;191;2;178;882;311;19;0;0;0
1348;20;0;52;98;3;1869;1942;955;7;1;1;1
1956;22;0;37;87;3;185;776;1109;19;1;0;1
1751;5;1;8;178;6;170;564;2969;17;0;1;2
1530;20;0;42;177;6;454;1975;725;19;0;1;0
1997;18;1;40;185;4;866;1212;1655;15;0;0;2
1414;15;1;44;180;2;44;1118;3490;13;1;0;3
1707;14;0;41;80;7;1331;1388;1774;10;0;0;2
894;5;1;50;199;3;1285;1462;3615;6;0;1;3
645;12;0;41;184;8;741;1130;714;13;1;0;0
1163;28;1;49;155;2;520;754;2768;12;0;1;2
1126;7;0;49;165;8;114;1726;3739;13;0;0;3
1648;7;0;64;170;4;1153;1876;610;6;1;0;1
1170;9;0;14;199;2;474;709;715;20;0;1;0
508;8;0;42;94;1;39;557;663;7;0;0;0
1097;21;1;64;161;3;419;1914;1725;9;0;1;1
728;17;1;5;101;2;584;775;834;5;1;0;0
1980;5;1;29;177;1;312;1910;3865;18;0;0;3
1504;23;1;64;182;1;19;1923;3059;10;1;0;3
1379;21;1;63;83;1;207;1370;651;7;1;0;0
1698;21;0;18;160;6;363;994;796;14;0;1;0
920;21;1;25;115;7;209;1078;785;5;1;1;0
1144;15;1;21;189;1;159;724;3252;8;0;0;2
1995;5;0;26;129;1;649;1104;1322;7;1;1;1
1430;5;1;27;183;1;1132;1182;2832;15;1;1;2
972;5;1;13;193;5;1392;1795;1615;13;1;0;1
662;5;0;20;138;1;1001;1224;2125;15;1;1;1
1867;23;0;9;191;6;712;1442;990;2;0;1;1
1730;20;1;20;143;4;418;1023;1595;12;1;0;1
1723;10;0;7;126;3;384;1361;1213;16;1;1;1
1882;13;1;47;140;2;119;652;2500;11;0;1;2
803;8;1;18;106;4;627;935;2801;12;1;0;2
580;12;1;47;91;3;1086;1345;3451;11;1;0;3
668;23;0;48;114;1;195;1292;1201;4;1;0;0
1391;14;0;36;182;1;14;1256;3139;14;1;0;2
1560;23;0;22;169;7;745;1364;1938;16;1;1;2
821;18;1;54;109;3;253;1786;3185;15;0;0;2
811;24;1;2;106;6;333;1429;2111;2;0;1;1
1989;29;1;17;193;8;629;682;2369;18;1;0;2
1034;27;1;37;120;7;707;1199;3625;12;1;1;3
618;21;0;6;86;1;1314;1688;1051;15;0;1;0
654;13;0;52;196;4;1715;1898;1036;13;0;0;1
576;28;0;10;184;5;513;1438;2938;5;1;1;2
667;6;0;3;185;6;13;1463;2855;19;0;1;2
869;10;0;57;118;1;1243;1584;2727;8;0;0;2
635;5;1;42;149;3;300;1059;2973;18;0;1;2
609;30;0;44;117;1;58;1253;2581;15;0;1;1
1557;28;1;2;123;5;1107;1442;2690;9;0;1;3
1604;17;0;33;191;8;134;939;916;12;1;1;0
1182;5;0;8;138;8;275;986;2563;19;0;0;2
848;21;1;19;148;7;176;1029;3359;14;0;0;2
1610;29;0;64;181;4;1236;1280;941;9;1;0;1
1828;21;1;17;199;1;336;898;2280;4;0;0;2
880;20;1;50;194;7;1116;1381;827;6;0;1;0
1394;9;1;62;175;5;1010;1565;473;20;1;0;0
1960;23;1;61;86;7;205;1299;3865;11;0;0;3
809;8;0;21;91;7;1453;1726;1274;3;0;0;1
899;5;1;57;172;2;788;1331;364;7;1;0;0
1976;7;1;32;171;2;1301;1922;3699;13;1;1;3
879;15;1;21;187;4;463;1038;2927;11;0;1;2
916;26;0;36;195;4;188;992;1470;14;1;0;0
763;17;1;2;92;8;1028;1186;1050;8;1;0;0
508;16;1;9;162;6;1419;1920;2616;10;1;1;2
825;29;1;34;99;8;1471;1866;2915;10;1;0;3
1864;14;0;46;178;1;168;981;2686;18;1;1;2
1725;5;1;52;185;6;1125;1195;1243;5;1;1;1
1108;29;0;52;183;2;130;1706;3264;13;1;1;3
1011;11;0;36;131;7;481;749;2261;16;1;1;1
1703;15;1;55;138;5;1411;1711;2993;20;1;1;3
1067;17;1;58;135;7;79;681;706;16;1;0;0
1334;24;0;42;115;5;1187;1974;2542;8;0;0;3
775;26;0;30;189;7;561;1510;2523;9;0;1;2
1899;6;0;26;151;2;96;814;336;4;0;1;0
930;13;1;14;97;6;77;1025;2457;17;1;0;1
1058;15;0;19;166;4;493;1247;418;16;0;1;0
1187;22;0;46;145;2;1173;1814;3917;8;0;1;3
1874;27;1;8;166;7;964;1233;1246;2;0;1;1
1482;5;0;48;142;7;634;642;2971;12;1;1;2
1809;17;0;59;174;3;639;721;2324;16;0;1;2
864;30;1;54;187;2;127;1670;3121;16;1;1;2
625;19;0;33;191;1;431;550;3801;2;0;0;2
1880;18;0;18;138;3;71;699;3333;7;0;0;3
1138;14;0;44;187;8;111;1138;3475;3;0;0;3
560;5;0;23;146;8;356;1903;2360;18;1;1;1
1117;5;0;12;144;7;798;817;2895;16;1;0;2
1712;14;0;63;137;7;747;1126;3652;19;0;0;3
1836;17;1;26;134;6;408;1139;3097;18;1;0;3
1036;24;0;39;119;7;373;926;2101;2;1;0;1
1860;23;0;23;162;4;1362;1506;3918;8;1;0;3
1375;11;0;9;145;7;475;726;3869;10;1;1;3
1945;16;1;57;195;4;743;1753;732;14;1;0;1
1896;5;1;7;141;2;447;794;3684;18;0;0;3
788;25;1;57;91;8;42;1161;3969;6;1;1;3
880;17;1;33;173;2;30;1350;1414;7;1;0;0
1323;25;1;28;131;4;162;619;1892;15;1;1;1
1868;20;1;42;169;1;347;660;3131;7;1;1;3
1266;19;1;7;184;3;346;1468;2532;4;1;1;2
1042;27;1;50;93;7;727;1705;3215;20;1;1;3
1479;5;0;19;156;3;180;1476;3323;6;0;1;3
1476;12;1;55;171;4;1641;1666;1529;3;0;1;2
1552;22;0;13;123;6;269;1026;2403;9;1;1;2
1454;5;1;34;83;4;250;1033;3419;5;1;0;3
1007;20;0;45;95;5;1186;1529;3648;16;0;0;3
652;24;1;17;173;5;77;559;1974;12;0;0;0
1504;15;0;34;142;8;507;973;2806;7;0;1;2
1726;9;1;51;193;4;379;1223;2239;13;0;1;2
1029;19;1;5;171;5;264;956;582;4;1;1;0
1582;28;0;44;112;6;1486;1797;3890;10;1;1;3
1478;8;1;48;99;5;694;882;1141;6;0;1;1
1178;13;0;49;101;5;579;596;2511;17;0;0;2
707;21;1;25;131;3;495;574;3838;7;0;1;3
755;28;0;51;186;4;315;990;2734;16;0;1;2
912;20;0;54;161;8;329;1053;2330;20;1;0;1
651;8;1;63;176;5;548;858;2244;19;1;0;1
1483;21;0;54;176;7;531;758;1851;2;1;0;1
914;9;0;4;100;2;191;1495;808;5;1;0;0
1456;5;1;7;105;5;823;1104;1587;20;0;1;1
1178;22;1;57;84;3;96;1352;2492;10;1;0;2
1503;7;0;43;166;4;841;1304;2122;2;0;0;2
1681;25;0;11;158;2;195;1205;1122;16;1;1;0
715;23;1;48;160;4;21;562;3709;10;0;0;2
1876;28;1;56;182;3;235;585;3021;18;0;0;2
1190;22;1;47;186;6;1417;1441;624;19;1;1;0
1755;13;0;24;134;7;286;1075;3937;7;0;1;3
1197;13;0;20;149;6;649;1629;1797;4;1;1;1
1048;9;0;28;194;2;966;1975;1458;15;0;1;1
1887;30;1;17;126;8;1172;1798;3348;16;1;0;3
1772;5;1;64;116;8;270;545;1834;20;1;1;1
1421;28;0;57;165;1;781;1657;2775;14;0;1;3
1464;5;1;17;153;6;418;1341;1277;19;0;0;1
728;23;1;23;111;4;126;817;457;16;1;1;0
954;5;0;50;134;2;228;1058;438;2;0;0;0
685;5;1;13;82;7;1091;1203;3210;2;1;1;3
1472;28;1;36;130;6;1452;1744;985;7;1;0;1
853;20;0;3;200;2;674;740;3701;8;1;0;3
1469;21;0;8;123;7;398;1133;1052;3;1;0;0
1310;23;1;57;135;8;449;889;1175;8;0;0;0
1654;18;0;11;146;7;1184;1719;1070;14;1;1;1
902;7;0;3;134;7;675;1285;3411;15;0;1;3
1448;14;1;26;156;3;1792;1850;1175;6;1;0;1
1631;9;1;3;198;7;177;1905;301;13;0;0;0
1608;18;1;28;183;2;1013;1158;489;8;0;1;0
1991;27;0;64;145;2;1058;1325;1733;8;1;0;2
1349;20;1;62;114;5;592;772;2756;4;0;0;2
1589;25;0;51;195;1;810;1743;2612;16;0;0;2
1844;23;1;51;158;8;533;882;1724;14;1;1;1
712;5;1;35;84;2;558;1208;2190;4;1;1;1
972;17;0;54;107;3;681;1050;1900;19;0;1;1
1406;5;1;34;98;3;1017;1366;3915;2;0;1;3
1289;9;0;25;178;6;765;899;1043;11;1;0;0
932;13;0;64;154;7;1176;1224;3817;9;1;1;3
1747;9;0;48;94;3;947;1131;2362;19;1;0;2
1172;21;1;41;95;3;1314;1884;1107;5;0;0;1
1128;14;0;53;84;5;609;1370;2982;12;1;0;3
664;12;1;28;106;5;754;1497;2042;19;1;0;1
513;5;0;44;186;4;619;867;1343;9;1;0;0
1742;23;1;43;170;7;453;681;2610;10;0;1;2
1512;17;0;6;162;7;205;884;2335;7;1;1;2
1986;5;1;51;165;8;282;1358;1614;3;1;1;1
965;15;1;13;109;2;130;998;1138;10;1;0;0
1067;24;1;40;122;8;494;1989;604;11;0;0;0
1583;16;0;42;118;3;275;862;3652;9;0;0;3
1653;5;1;37;176;4;447;1785;3955;18;1;1;3
1433;16;0;4;133;8;281;799;258;4;1;1;0
765;29;0;18;153;7;6;793;1066;16;1;0;0
1845;5;1;61;96;1;292;695;1731;6;0;0;1
752;5;1;48;87;7;164;728;3860;16;0;0;3
1948;28;1;16;100;5;631;1940;3630;17;1;0;3
1077;25;1;45;174;3;897;1304;1965;6;1;0;1
932;5;0;60;104;4;268;1078;1459;19;1;0;0
1968;9;0;22;115;3;861;1259;2323;7;0;1;2
1122;12;0;2;120;4;331;790;3291;13;1;1;2
1588;5;0;61;159;1;1064;1594;3272;17;1;0;3
601;21;0;26;101;4;509;548;918;12;0;0;0
1615;5;0;15;132;4;622;1256;3488;3;0;1;3
1589;22;1;58;128;4;957;1911;3961;14;0;1;3
1417;27;0;56;114;6;494;1649;590;6;0;1;0
1697;7;0;34;95;1;236;1264;3701;8;1;0;3
1330;13;1;3;83;5;980;1262;463;11;0;1;0
1476;5;0;43;148;2;1789;1972;3644;6;0;1;3
1579;15;0;27;142;6;831;1484;1713;10;1;1;1
1277;30;0;41;200;4;902;1090;429;14;1;1;0
1089;9;1;2;145;5;636;1259;2765;10;0;1;2
1663;25;1;27;169;4;831;1439;2084;18;0;0;2
